trade_id,timestamp_utc,event,market,side,strike,price,outcome_price,size,model_probability,ev_per_contract,ev_dollars,edge_pct,realized_pnl,spot_price,last_candle_close,spot_candle_gap_pct,annual_vol,horizon_hours,settlement_time_utc,settlement_mode,notes
T1769051618,2026-01-22T04:19:36.166735+00:00,CLOSE,btc-hourly-11pm,NO,89750.0,0.158983,0.294900,59,0.261509,0.1025,6.05,0.6449,8.02,90055.99,90050.9,0.0056,0.5613,0.79,2026-01-22T04:00:00+00:00,hourly,close_type=CASHOUT | exit_price=0.294900 | PnL: +8.02
T1769052138,2026-01-22T04:20:33.206209+00:00,CLOSE,btc-hourly-11pm,YES,90250.0,0.106383,0.000000,47,0.216165,0.1098,5.16,1.032,-5.00,89910.15,89901.07,0.0101,0.5628,0.639,2026-01-22T04:00:00+00:00,hourly,close_type=LOSS | PnL: -5.00
T1769052891,2026-01-22T04:21:15.659961+00:00,CLOSE,btc-hourly-11pm,YES,90000.0,0.116905,0.000000,42,0.255335,0.1384,5.81,1.1841,-4.91,89764.88,89762.8,0.0023,0.563,0.437,2026-01-22T04:00:00+00:00,hourly,close_type=LOSS | PnL: -4.91
T1769056021,2026-01-22T04:27:01.476794+00:00,OPEN,btc-hourly-12am,YES,90250.0,0.04271428571428572,,70,0.150117,0.1074,7.52,2.5144,,89823.1,89812.35,0.012,0.5624,0.581,2026-01-22T05:00:00+00:00,hourly,
T1769058190,2026-01-22T05:03:10.541463+00:00,OPEN,btc-hourly-1am,YES,90250.0,0.08517094017094017,,234,0.25838,0.1732,40.53,2.0337,,89905.87,89919.23,0.0149,0.5625,0.962,2026-01-22T06:00:00+00:00,hourly,
T1769055289,2026-01-22T05:04:16.266765+00:00,CLOSE,btc-hourly-12am,NO,89500.0,0.085429,0.000000,35,0.264421,0.179,6.26,2.0952,-2.99,89797.04,89797.99,0.0011,0.5622,0.768,2026-01-22T05:00:00+00:00,hourly,close_type=LOSS | PnL: -2.99
T1769055338,2026-01-22T05:04:24.545605+00:00,CLOSE,btc-hourly-12am,NO,89750.0,0.365926,0.000000,27,0.4739,0.108,2.92,0.2951,-9.88,89780.54,89797.99,0.0194,0.5622,0.749,2026-01-22T05:00:00+00:00,hourly,close_type=LOSS | PnL: -9.88
T1769056021,2026-01-22T05:04:36.880003+00:00,CLOSE,btc-hourly-12am,YES,90250.0,0.042714,0.000000,70,0.150117,0.1074,7.52,2.5144,-2.99,89823.1,89812.35,0.012,0.5624,0.581,2026-01-22T05:00:00+00:00,hourly,T1769056021 | close_type=LOSS | PnL: -2.99
T1769058190,2026-01-22T21:32:18.592466+00:00,CLOSE,btc-hourly-1am,YES,90250.0,0.085171,0.000000,234,0.25838,0.1732,40.53,2.0337,-19.93,89905.87,89919.23,0.0149,0.5625,0.962,2026-01-22T06:00:00+00:00,hourly,close_type=LOSS | PnL: -19.93
T1769117798,2026-01-22T21:36:38.675447+00:00,OPEN,btc-hourly-5pm,NO,89250.0,0.11694117647058823,,85,0.214321,0.0974,8.28,0.8327,,89437.55,89440.48,0.0033,0.3915,0.402,2026-01-22T22:00:00+00:00,hourly,
T1769120346,2026-01-22T22:19:06.004990+00:00,OPEN,btc-hourly-6pm,NO,89000.0,0.13777777777777778,,72,0.188725,0.0509,3.67,0.3698,,89275.25,89281.62,0.0071,0.3934,0.693,2026-01-22T23:00:00+00:00,hourly,
T1769117798,2026-01-22T22:19:20.126887+00:00,CLOSE,btc-hourly-5pm,NO,89250.0,0.116941,1.000000,85,0.214321,0.0974,8.28,0.8327,75.06,89437.55,89440.48,0.0033,0.3915,0.402,2026-01-22T22:00:00+00:00,hourly,close_type=WIN | PnL: +75.06
T1769140281,2026-01-23T03:51:21.963333+00:00,OPEN,btc-hourly-11pm,NO,89750.0,0.1694915254237288,,59,0.39503,0.2255,13.31,1.3307,,89786.9,89785.69,0.0013,0.3732,0.15,2026-01-23T04:00:00+00:00,hourly,
T1769120346,2026-01-23T03:55:34.884169+00:00,CLOSE,btc-hourly-6pm,NO,89000.0,0.137778,0.000000,72,0.188725,0.0509,3.67,0.3698,-9.92,89275.25,89281.62,0.0071,0.3934,0.693,2026-01-22T23:00:00+00:00,hourly,close_type=LOSS | PnL: -9.92
T1769140281,2026-01-23T04:00:50.670976+00:00,CLOSE,btc-hourly-11pm,NO,89750.0,0.169492,0.000000,59,0.39503,0.2255,13.31,1.3307,-10.00,89786.9,89785.69,0.0013,0.3732,0.15,2026-01-23T04:00:00+00:00,hourly,close_type=LOSS | PnL: -10.00
T1769141613,2026-01-23T04:13:33.751945+00:00,OPEN,btc-hourly-12am,YES,90250.0,0.02142857142857143,,140,0.129068,0.1076,15.07,5.0232,,89889.85,89899.99,0.0113,0.3731,0.788,2026-01-23T05:00:00+00:00,hourly,
T1769141763,2026-01-23T04:16:03.127925+00:00,OPEN,btc-hourly-12am,YES,90500.0,0.010752688172043012,,93,0.032178,0.0214,1.99,1.9926,,89924.67,89920.0,0.0052,0.3729,0.749,2026-01-23T05:00:00+00:00,hourly,
T1769141908,2026-01-23T04:18:28.890868+00:00,OPEN,btc-hourly-12am,YES,90000.0,0.26,,38,0.422141,0.1621,6.16,0.6236,,89939.93,89920.0,0.0222,0.3729,0.728,2026-01-23T05:00:00+00:00,hourly,
T1769146359,2026-01-23T05:32:39.285701+00:00,OPEN,btc-hourly,NO,89500.0,0.32508474576271185,,59,0.462395,0.1373,8.1,0.4224,,89523.21,89532.15,0.01,0.3734,0.475,2026-01-23T06:00:00+00:00,hourly,
T1769141613,2026-01-23T05:33:13.796279+00:00,CLOSE,btc-hourly-12am,YES,90250.0,0.021429,0.000000,140,0.129068,0.1076,15.07,5.0232,-3.00,89889.85,89899.99,0.0113,0.3731,0.788,2026-01-23T05:00:00+00:00,hourly,close_type=LOSS | PnL: -3.00
T1769141763,2026-01-23T05:33:23.901624+00:00,CLOSE,btc-hourly-12am,YES,90500.0,0.010753,0.000000,93,0.032178,0.0214,1.99,1.9926,-1.00,89924.67,89920.0,0.0052,0.3729,0.749,2026-01-23T05:00:00+00:00,hourly,close_type=LOSS | PnL: -1.00
T1769141908,2026-01-23T05:33:32.535711+00:00,CLOSE,btc-hourly-12am,YES,90000.0,0.260000,0.000000,38,0.422141,0.1621,6.16,0.6236,-9.88,89939.93,89920.0,0.0222,0.3729,0.728,2026-01-23T05:00:00+00:00,hourly,close_type=LOSS | PnL: -9.88
T1769146359,2026-01-23T06:04:05.906518+00:00,CLOSE,btc-hourly,NO,89500.0,0.325085,0.841000,59,0.462395,0.1373,8.1,0.4224,30.44,89523.21,89532.15,0.01,0.3734,0.475,2026-01-23T06:00:00+00:00,hourly,close_type=CASHOUT | exit_price=0.841000 | PnL: +30.44
T1769148697,2026-01-23T06:11:37.625760+00:00,OPEN,btc-hourly-2am,NO,89500.0,0.30000000000000004,,31,0.345255,0.0453,1.4,0.1509,,89628.8,89618.24,0.0118,0.3737,0.819,2026-01-23T07:00:00+00:00,hourly,
T1769152477,2026-01-23T07:14:37.392935+00:00,OPEN,btc-hourly-3am,NO,89250.0,0.25278481012658227,,79,0.295411,0.0426,3.37,0.1686,,89418.54,89418.52,0.0,0.3757,0.765,2026-01-23T08:00:00+00:00,hourly,
T1769186021,2026-01-23T16:33:41.728988+00:00,OPEN,btc-hourly-12pm,NO,89500.0,0.5773529411764705,,34,0.7085,0.1311,4.46,0.2272,,89368.21,89600.0,0.2587,0.3763,0.446,2026-01-23T17:00:00+00:00,hourly,
T1769148697,2026-01-23T16:35:20.323928+00:00,CLOSE,btc-hourly-2am,NO,89500.0,0.300000,1.000000,31,0.345255,0.0453,1.4,0.1509,21.70,89628.8,89618.24,0.0118,0.3737,0.819,2026-01-23T07:00:00+00:00,hourly,close_type=WIN | PnL: +21.70
T1769152477,2026-01-23T16:35:48.759265+00:00,CLOSE,btc-hourly-3am,NO,89250.0,0.252785,0.000000,79,0.295411,0.0426,3.37,0.1686,-19.97,89418.54,89418.52,0.0,0.3757,0.765,2026-01-23T08:00:00+00:00,hourly,close_type=LOSS | PnL: -19.97
