trade_id,open_time,market,side,strike,entry_price,size,model_prob_used,expected_ev_dollars,outcome_price,realized_pnl,hold_minutes,log_lag_minutes,edge_pct,notes_close
T1767582750,2026-01-05 03:12:30.355982+00:00,btc-hourly-11pm,NO,93250.0,0.8496666666666666,30,0.11320200000000002,1.11,1.0,4.51,47.494066966666665,14.316879683333333,0.0437,close_type=WIN | PnL: +4.51
T1767586260,2026-01-05 04:11:00.523279+00:00,btc-hourly-12am,YES,93000.0,0.18,27,0.246104,1.78,0.0,-4.86,48.991278683333334,1126.4892489666668,0.3672,close_type=LOSS | PnL: -4.86
T1767588228,2026-01-05 04:43:48.088278+00:00,btc-hourly-12am,NO,92500.0,0.7246341463414634,41,0.25980899999999996,0.64,0.0,-29.71,16.1985287,22.720645983333334,0.0215,close_type=LOSS | PnL: -29.71
T1767590681,2026-01-05 05:24:41.432176+00:00,btc-daily,YES,91750.0,0.723768115942029,138,0.774499,7.0,1.0,38.12,995.3094637333332,103.83236261666666,0.0701,close_type=WIN | PnL: +38.12
T1767590806,2026-01-05 05:26:46.587022+00:00,btc-daily,NO,94250.0,0.811219512195122,123,0.09243000000000001,11.85,1.0,23.22,993.2235496333334,104.15475726666666,0.1188,close_type=WIN | PnL: +23.22
T1767592839,2026-01-05 06:00:39.162518+00:00,btc-daily,YES,90750.0,0.811219512195122,123,0.916164,12.91,1.0,23.22,959.3472913666667,104.52640833333334,0.1294,close_type=WIN | PnL: +23.22
T1767592974,2026-01-05 06:02:54.049301+00:00,btc-daily,NO,93750.0,0.7817322834645669,127,0.12368800000000002,12.01,0.0,-99.28,957.0991783166667,105.0407852,0.121,close_type=LOSS | PnL: -99.28
T1767593032,2026-01-05 06:03:52.749204+00:00,btc-daily,NO,93250.0,0.7050354609929078,141,0.22939699999999996,9.25,0.0,-99.41,956.1208466,105.43629048333334,0.093,close_type=LOSS | PnL: -99.41
T1767593173,2026-01-05 06:06:13.038914+00:00,btc-daily,YES,91250.0,0.7534848484848484,132,0.840662,11.51,1.0,32.54,953.7826847666668,105.76656398333333,0.1157,close_type=WIN | PnL: +32.54
T1767626494,2026-01-05 15:21:34.109584+00:00,btc-hourly-11am,YES,93250.0,0.7409090909090909,66,0.882828,9.37,1.0,17.1,38.43150693333334,1.6406097499999999,0.1915,close_type=WIN | PnL: +17.10
T1767631037,2026-01-05 16:37:17.203931+00:00,btc-hourly-12pm,YES,93500.0,0.8685333333333334,75,0.947568,5.93,1.0,9.86,22.713267816666665,1.6342352666666666,0.091,close_type=WIN | PnL: +9.86
T1767641528,2026-01-05 19:32:08.423334+00:00,btc-hourly-3pm,YES,94500.0,0.4169565217391304,46,0.482726,3.03,0.0,-19.18,27.8596111,223.26860251666668,0.1577,close_type=LOSS | PnL: -19.18
T1767657807,2026-01-06 00:03:27.419608+00:00,btc-hourly-8pm,YES,94000.0,0.4372727272727272,22,0.45002,0.28,0.0,-9.62,56.54300653333333,6.27838905,0.0292,close_type=LOSS | PnL: -9.62
T1767661562,2026-01-06 01:06:02.972642+00:00,btc-hourly-9pm,NO,93500.0,0.1063829787234042,47,0.850996,2.0,0.0,-5.0,53.95045596666667,6.102004916666667,0.4006,close_type=LOSS | PnL: -5.00
T1767665883,2026-01-06 02:18:03.774951+00:00,btc-hourly-10pm,NO,93500.0,0.1379172413793103,725,0.787744,53.9,0.0,-99.99,41.937084150000004,126.36384386666667,0.539,close_type=LOSS | PnL: -99.99
T1767672936,2026-01-06 04:15:36.533398+00:00,btc-hourly-12am,NO,93750.0,0.1360958904109589,146,0.7157100000000001,21.64,0.0,-19.87,44.391110033333334,7.074213233333333,1.0889,close_type=LOSS | PnL: -19.87
T1767673122,2026-01-06 04:18:42.810912+00:00,btc-hourly-12am,NO,93750.0,0.1590322580645161,31,0.759524,2.52,0.0,-4.93,41.286484800000004,7.351150666666666,0.5121,close_type=LOSS | PnL: -4.93
T1767673473,2026-01-06 04:24:33.648596+00:00,btc-hourly-12am,YES,94000.0,0.3147003154574133,317,0.399772,26.97,0.0,-99.76,35.43919006666667,7.8426177500000005,0.2703,close_type=LOSS | PnL: -99.76
